case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message
fuzz_pt_a0a26c1b,Success,1662.41,1611,1,AvgPool2d,"[1, 34, 1024, 256]",None
fuzz_pt_d29fa91b,Crash,1.0,1866,3,"Flatten,BatchNorm2d,ReLU","[256, 618]",expected 4D input (got 2D input)
fuzz_pt_0fe84124,Crash,1.0,5107,6,"Conv2d,Linear,Flatten,MaxPool2d,Flatten,BatchNorm2d","[4, 45, 256, 1024]","Given groups=1, weight of size [16, 15, 5, 5], expected input[4, 45, 256, 1024] to have 15 channels, but got 45 channels instead"
fuzz_pt_af825c0f,Crash,1.6,4484,6,"Flatten,Conv2d,Linear,ReLU,ReLU,AvgPool2d","[1, 1197]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 1197]"
fuzz_pt_1c1d64ce,Crash,1.0,5978,5,"Conv2d,Conv2d,Linear,AvgPool2d,Conv2d","[128, 10, 64, 256]","Given groups=1, weight of size [40, 3, 5, 5], expected input[128, 10, 64, 256] to have 3 channels, but got 10 channels instead"
fuzz_pt_d219aa0b,Crash,1.0,4346,5,"Linear,MaxPool2d,ReLU,Flatten,ReLU","[128, 40, 256, 32]",mat1 and mat2 shapes cannot be multiplied (1310720x32 and 667x446)
fuzz_pt_e5acd662,Crash,1.0,2551,2,"ReLU,Conv2d","[1, 51, 16, 16]","Given groups=1, weight of size [4, 11, 1, 1], expected input[1, 51, 16, 16] to have 11 channels, but got 51 channels instead"
fuzz_pt_4fbb9cb2,Crash,1.0,904,1,BatchNorm2d,"[16, 538]",expected 4D input (got 2D input)
fuzz_pt_62341101,Success,1.92,2755,2,"MaxPool2d,AvgPool2d","[64, 29, 16, 64]",None
fuzz_pt_dacbe778,Success,1.13,1714,1,MaxPool2d,"[16, 19, 256, 16]",None
fuzz_pt_31065f8a,Crash,1.0,3054,4,"BatchNorm2d,BatchNorm2d,BatchNorm2d,MaxPool2d","[64, 3896]",expected 4D input (got 2D input)
fuzz_pt_ff9aa51c,Crash,1.0,1434,1,Conv2d,"[16, 43, 256, 32]","Given groups=1, weight of size [58, 64, 5, 5], expected input[16, 43, 256, 32] to have 64 channels, but got 43 channels instead"
fuzz_pt_88600879,Crash,1.0,2634,4,"ReLU,MaxPool2d,AvgPool2d,ReLU","[16, 3747]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_8fc1eee8,Crash,1.0,2672,2,"BatchNorm2d,Linear","[1, 1632]",expected 4D input (got 2D input)
fuzz_pt_51825084,Crash,1.0,4435,5,"Conv2d,Conv2d,Flatten,BatchNorm2d,AvgPool2d","[128, 12, 64, 128]","Given groups=1, weight of size [34, 24, 3, 3], expected input[128, 12, 64, 128] to have 24 channels, but got 12 channels instead"
fuzz_pt_8e7434ce,Crash,1.0,4104,5,"Linear,Conv2d,ReLU,Linear,MaxPool2d","[64, 29, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (1900544x256 and 954x887)
fuzz_pt_17a60470,Crash,1.0,3009,3,"AvgPool2d,Linear,ReLU","[1, 2, 256, 32]",mat1 and mat2 shapes cannot be multiplied (170x10 and 367x457)
fuzz_pt_ffb64365,Crash,34.4,2903,2,"ReLU,Conv2d","[64, 40, 1024, 64]","Given groups=1, weight of size [47, 23, 1, 1], expected input[64, 40, 1024, 64] to have 23 channels, but got 40 channels instead"
fuzz_pt_2dcad6f2,Success,1146.07,1733,1,Flatten,"[1, 63, 16, 256]",None
fuzz_pt_49f6c336,Success,1.0,1976,1,ReLU,"[1, 2, 16, 16]",None
fuzz_pt_a6ec2d4b,Crash,1.0,4735,5,"BatchNorm2d,Flatten,Linear,BatchNorm2d,ReLU","[64, 3177]",expected 4D input (got 2D input)
fuzz_pt_7a5d4845,Crash,1.0,5539,6,"Linear,AvgPool2d,Linear,BatchNorm2d,AvgPool2d,Flatten","[64, 382]",mat1 and mat2 shapes cannot be multiplied (64x382 and 807x759)
fuzz_pt_0673b354,Crash,1.0,3569,3,"BatchNorm2d,MaxPool2d,Conv2d","[1, 34]",expected 4D input (got 2D input)
fuzz_pt_3d7f77ac,Crash,1.0,5052,5,"BatchNorm2d,BatchNorm2d,Flatten,Linear,Conv2d","[64, 93]",expected 4D input (got 2D input)
fuzz_pt_001d8d5b,Success,539.88,1506,1,Flatten,"[256, 2959]",None
fuzz_pt_9e18c310,Crash,1.15,2471,3,"MaxPool2d,Flatten,Conv2d","[4, 41, 16, 64]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [4, 10496]"
fuzz_pt_3cd596ba,Success,1.0,1521,1,ReLU,"[16, 12, 16, 64]",None
fuzz_pt_a43afbee,Crash,1.0,3008,3,"Conv2d,Flatten,Linear","[16, 4, 1024, 1024]","Given groups=1, weight of size [27, 15, 5, 5], expected input[16, 4, 1024, 1024] to have 15 channels, but got 4 channels instead"
fuzz_pt_94c5a03b,Crash,1.0,2131,3,"AvgPool2d,Flatten,AvgPool2d","[4, 1, 64, 16]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_c18a2058,Success,1.0,1508,1,Flatten,"[16, 54, 32, 32]",None
fuzz_pt_54ed495f,Crash,1.0,4628,3,"Conv2d,Conv2d,Conv2d","[64, 50000]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 50000]"
fuzz_pt_23b09297,Crash,1.0,2088,4,"ReLU,Linear,ReLU,ReLU","[1, 35, 16, 256]",mat1 and mat2 shapes cannot be multiplied (560x256 and 457x555)
fuzz_pt_a13d1775,Crash,1.0,3382,5,"BatchNorm2d,BatchNorm2d,ReLU,MaxPool2d,MaxPool2d","[16, 555]",expected 4D input (got 2D input)
fuzz_pt_84cca351,Crash,1.66,2915,5,"ReLU,MaxPool2d,ReLU,MaxPool2d,AvgPool2d","[1, 2496]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_d364d8c3,Crash,1.0,7566,6,"Conv2d,BatchNorm2d,Linear,Conv2d,Conv2d,ReLU","[16, 1, 16, 32]","Given groups=1, weight of size [15, 31, 1, 1], expected input[16, 1, 16, 32] to have 31 channels, but got 1 channels instead"
fuzz_pt_81b81e26,Crash,1.0,2315,3,"BatchNorm2d,ReLU,AvgPool2d","[64, 2025]",expected 4D input (got 2D input)
fuzz_pt_76691b8a,Crash,2.0,2231,3,"BatchNorm2d,Conv2d,Flatten","[1, 19, 128, 1024]",running_mean should contain 19 elements not 49
fuzz_pt_250dc192,Crash,1.0,1640,2,"Flatten,MaxPool2d","[64, 39, 16, 32]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_3e5574a0,Crash,1.0,2963,4,"AvgPool2d,ReLU,AvgPool2d,Conv2d","[1, 7, 32, 256]","Given groups=1, weight of size [20, 27, 3, 3], expected input[1, 7, 3, 28] to have 27 channels, but got 7 channels instead"
fuzz_pt_9adefc55,Crash,1.0,3271,5,"Flatten,MaxPool2d,MaxPool2d,Linear,BatchNorm2d","[1, 1495]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_ba6bf9d8,Crash,1.0,741,1,BatchNorm2d,"[256, 1980]",expected 4D input (got 2D input)
fuzz_pt_154c30b8,Crash,1.0,5432,6,"Flatten,AvgPool2d,ReLU,Conv2d,AvgPool2d,Linear","[64, 3620]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_ab2799d6,Crash,4.07,2673,4,"AvgPool2d,Conv2d,BatchNorm2d,AvgPool2d","[16, 24, 256, 128]","Given groups=1, weight of size [2, 5, 3, 3], expected input[16, 24, 128, 64] to have 5 channels, but got 24 channels instead"
fuzz_pt_78cbc194,Crash,1.0,3104,4,"Linear,Flatten,ReLU,AvgPool2d","[1, 15, 64, 128]",mat1 and mat2 shapes cannot be multiplied (960x128 and 126x459)
fuzz_pt_5f4f6ebf,Crash,1.0,5150,5,"Conv2d,MaxPool2d,Flatten,Linear,Conv2d","[16, 3080]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3080]"
fuzz_pt_1d881407,Crash,1.55,1887,2,"AvgPool2d,Linear","[128, 15, 16, 32]",mat1 and mat2 shapes cannot be multiplied (15360x16 and 597x214)
fuzz_pt_3bc5553c,Timeout,2098.28,5607,5,"ReLU,ReLU,MaxPool2d,Flatten,ReLU","[128, 10, 256, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_700dc871,Crash,1.0,2918,4,"BatchNorm2d,ReLU,MaxPool2d,BatchNorm2d","[4, 30, 128, 1024]",running_mean should contain 30 elements not 49
fuzz_pt_2721e2a1,Crash,1.6,1248,1,Conv2d,"[1, 2987]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 2987]"
fuzz_pt_42e78aaa,Crash,1.0,6077,6,"MaxPool2d,BatchNorm2d,Conv2d,ReLU,Conv2d,Linear","[16, 17, 16, 64]",running_mean should contain 17 elements not 36
fuzz_pt_68762724,Crash,1.0,4583,2,"Linear,Linear","[64, 30, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (491520x1024 and 98x73)
fuzz_pt_2b176d0b,Crash,1.0,2285,2,"AvgPool2d,Conv2d","[16, 3116]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_984abb98,Crash,1.0,6899,5,"BatchNorm2d,Linear,Conv2d,AvgPool2d,MaxPool2d","[64, 2, 256, 128]",running_mean should contain 2 elements not 62
fuzz_pt_c18c02ad,Crash,1.0,2735,3,"BatchNorm2d,AvgPool2d,MaxPool2d","[128, 8, 16, 32]",running_mean should contain 8 elements not 24
fuzz_pt_8f9b30b2,Timeout,3183.05,4044,4,"MaxPool2d,MaxPool2d,ReLU,ReLU","[64, 11, 256, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_61fc5897,Crash,1.0,4192,5,"ReLU,Linear,MaxPool2d,ReLU,BatchNorm2d","[1, 64, 64, 64]",mat1 and mat2 shapes cannot be multiplied (4096x64 and 888x490)
fuzz_pt_4adc75cd,Crash,1.0,4592,6,"Flatten,MaxPool2d,MaxPool2d,AvgPool2d,AvgPool2d,Linear","[1, 40, 128, 256]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_389de175,Crash,7.57,4440,6,"MaxPool2d,AvgPool2d,BatchNorm2d,ReLU,ReLU,AvgPool2d","[16, 35, 64, 256]",running_mean should contain 35 elements not 40
fuzz_pt_8e440672,Crash,1.0,4928,6,"AvgPool2d,ReLU,BatchNorm2d,ReLU,ReLU,Conv2d","[16, 18, 32, 256]",running_mean should contain 18 elements not 36
fuzz_pt_ddc9d327,Crash,1.0,3163,4,"Linear,BatchNorm2d,BatchNorm2d,AvgPool2d","[64, 2906]",mat1 and mat2 shapes cannot be multiplied (64x2906 and 866x633)
fuzz_pt_0aabf296,Success,1.0,1523,1,Flatten,"[4, 15, 16, 32]",None
fuzz_pt_182f89a7,Crash,1.0,2474,3,"Conv2d,MaxPool2d,ReLU","[64, 30, 32, 32]","Given groups=1, weight of size [17, 17, 5, 5], expected input[64, 30, 32, 32] to have 17 channels, but got 30 channels instead"
fuzz_pt_6546d3fa,Crash,1.0,1264,1,Linear,"[16, 59, 256, 256]",mat1 and mat2 shapes cannot be multiplied (241664x256 and 778x396)
fuzz_pt_edafc401,Crash,20.01,2420,4,"MaxPool2d,Flatten,MaxPool2d,MaxPool2d","[64, 39, 16, 1024]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_fa69cf88,Crash,1.0,2752,3,"BatchNorm2d,ReLU,Flatten","[256, 2130]",expected 4D input (got 2D input)
fuzz_pt_919e5bf8,Crash,1.0,4324,4,"BatchNorm2d,Linear,AvgPool2d,Flatten","[1, 21, 256, 16]",running_mean should contain 21 elements not 14
fuzz_pt_46e26d34,Crash,1.0,3151,6,"BatchNorm2d,ReLU,Flatten,Flatten,MaxPool2d,ReLU","[1, 24, 32, 32]",running_mean should contain 24 elements not 60
fuzz_pt_7330a0ba,Crash,1.0,3934,3,"Linear,BatchNorm2d,ReLU","[16, 22, 64, 128]",mat1 and mat2 shapes cannot be multiplied (22528x128 and 330x882)
fuzz_pt_40619096,Crash,1.0,924,1,BatchNorm2d,"[256, 2300]",expected 4D input (got 2D input)
fuzz_pt_b43fbe6f,Crash,1.0,5295,6,"Conv2d,BatchNorm2d,Conv2d,Linear,MaxPool2d,MaxPool2d","[16, 3179]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 3179]"
fuzz_pt_51ea858e,Crash,1.0,6679,5,"Conv2d,ReLU,Linear,AvgPool2d,MaxPool2d","[256, 193]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 193]"
fuzz_pt_9b669522,Crash,1.0,4348,2,"Linear,Conv2d","[64, 48, 16, 16]",mat1 and mat2 shapes cannot be multiplied (49152x16 and 697x873)
fuzz_pt_d8ee4d87,Success,1479.16,3914,4,"MaxPool2d,Flatten,Flatten,Flatten","[16, 47, 256, 256]",None
fuzz_pt_473b2e7e,Crash,1.0,1482,2,"BatchNorm2d,ReLU","[1, 37, 128, 64]",running_mean should contain 37 elements not 11
fuzz_pt_077c9255,Crash,1.0,2817,1,Conv2d,"[256, 3093]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3093]"
fuzz_pt_bde90f05,Crash,3.51,4114,5,"MaxPool2d,Conv2d,BatchNorm2d,ReLU,AvgPool2d","[4, 64, 64, 256]","Given groups=1, weight of size [22, 60, 1, 1], expected input[4, 64, 32, 128] to have 60 channels, but got 64 channels instead"
fuzz_pt_46272a5d,Success,1.0,2397,2,"Flatten,Flatten","[64, 4, 1024, 16]",None
fuzz_pt_c94b1e7e,Crash,1.0,4185,6,"BatchNorm2d,Conv2d,Linear,BatchNorm2d,Flatten,Flatten","[64, 53, 1024, 64]",running_mean should contain 53 elements not 37
fuzz_pt_74675f88,Crash,1.0,4842,6,"MaxPool2d,ReLU,MaxPool2d,Conv2d,Flatten,ReLU","[256, 908]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_bb81226d,Crash,1.0,4627,5,"Linear,MaxPool2d,AvgPool2d,AvgPool2d,Linear","[16, 3, 1024, 64]",mat1 and mat2 shapes cannot be multiplied (49152x64 and 222x410)
fuzz_pt_e211f15e,Crash,1.57,4106,4,"ReLU,BatchNorm2d,Linear,Conv2d","[1, 312]",expected 4D input (got 2D input)
fuzz_pt_e81b9f53,Crash,1.0,3142,6,"BatchNorm2d,ReLU,ReLU,MaxPool2d,Flatten,AvgPool2d","[256, 1767]",expected 4D input (got 2D input)
fuzz_pt_ee3b6318,Crash,1.0,2816,5,"ReLU,Flatten,BatchNorm2d,Flatten,AvgPool2d","[1, 2052]",expected 4D input (got 2D input)
fuzz_pt_b13e2974,Crash,1.0,988,1,BatchNorm2d,"[16, 25, 32, 32]",running_mean should contain 25 elements not 62
fuzz_pt_cfbb8c4b,Crash,1.0,2176,2,"BatchNorm2d,Linear","[64, 13, 128, 256]",running_mean should contain 13 elements not 23
fuzz_pt_7b887298,Timeout,3060.92,3164,3,"ReLU,ReLU,Flatten","[64, 403]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_1e104547,Crash,1.0,1347,2,"Flatten,BatchNorm2d","[128, 55, 256, 16]",expected 4D input (got 2D input)
fuzz_pt_74c65218,Crash,1.0,5398,5,"Linear,BatchNorm2d,Linear,Conv2d,MaxPool2d","[4, 44, 1024, 32]",mat1 and mat2 shapes cannot be multiplied (180224x32 and 711x325)
fuzz_pt_33d8a30c,Timeout,3073.55,2364,2,"MaxPool2d,MaxPool2d","[4, 16, 32, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_6a0933b0,Crash,1.0,3941,4,"Flatten,Linear,BatchNorm2d,Flatten","[128, 53, 32, 1024]",mat1 and mat2 shapes cannot be multiplied (128x1736704 and 643x606)
fuzz_pt_fac3af5c,Crash,1.0,2300,2,"Conv2d,BatchNorm2d","[4, 43, 256, 64]","Given groups=1, weight of size [11, 16, 1, 1], expected input[4, 43, 256, 64] to have 16 channels, but got 43 channels instead"
fuzz_pt_79dac746,Crash,1.0,1660,1,Conv2d,"[4, 28, 256, 256]","Given groups=1, weight of size [19, 35, 5, 5], expected input[4, 28, 256, 256] to have 35 channels, but got 28 channels instead"
fuzz_pt_1a0bef6b,Crash,1.0,4060,6,"Conv2d,BatchNorm2d,Flatten,Conv2d,Conv2d,Flatten","[1, 48, 16, 64]","Given groups=1, weight of size [62, 49, 1, 1], expected input[1, 48, 16, 64] to have 49 channels, but got 48 channels instead"
fuzz_pt_31586fb9,Crash,1.0,3013,3,"Flatten,AvgPool2d,Linear","[1, 60, 16, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_b99c9392,Crash,1.0,2520,2,"Linear,AvgPool2d","[16, 16, 16, 1024]",mat1 and mat2 shapes cannot be multiplied (4096x1024 and 817x831)
fuzz_pt_6052a82c,Crash,24.49,3556,4,"MaxPool2d,BatchNorm2d,Flatten,AvgPool2d","[4, 39, 256, 1024]",running_mean should contain 39 elements not 59
fuzz_pt_c7946ab7,Crash,1.0,1383,1,BatchNorm2d,"[4, 33, 64, 16]",running_mean should contain 33 elements not 46
fuzz_pt_926e9771,Crash,1.0,3644,5,"BatchNorm2d,Linear,Flatten,ReLU,Linear","[256, 1580]",expected 4D input (got 2D input)
fuzz_pt_e611a078,Crash,1.0,4901,6,"BatchNorm2d,MaxPool2d,Flatten,Conv2d,AvgPool2d,ReLU","[256, 3718]",expected 4D input (got 2D input)
fuzz_pt_45eaf47d,Success,35.81,2496,2,"MaxPool2d,MaxPool2d","[64, 40, 1024, 16]",None
fuzz_pt_20115d25,Crash,2.17,3347,2,"Conv2d,BatchNorm2d","[128, 55, 256, 256]","Given groups=1, weight of size [20, 32, 5, 5], expected input[128, 55, 256, 256] to have 32 channels, but got 55 channels instead"
fuzz_pt_73ad1335,Crash,1.0,3722,4,"Flatten,ReLU,BatchNorm2d,MaxPool2d","[128, 24, 16, 64]",expected 4D input (got 2D input)
fuzz_pt_8b114e09,Crash,1.0,4970,5,"AvgPool2d,Flatten,BatchNorm2d,Flatten,Linear","[16, 660]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_67d5de55,Crash,1.0,5789,5,"ReLU,Linear,Linear,Conv2d,Flatten","[64, 3512]",mat1 and mat2 shapes cannot be multiplied (64x3512 and 994x732)
fuzz_pt_cf64825b,Crash,1.0,5035,6,"BatchNorm2d,Flatten,Conv2d,Conv2d,Conv2d,AvgPool2d","[128, 30, 128, 16]",running_mean should contain 30 elements not 5
fuzz_pt_f9f65e66,Crash,1.12,3909,6,"BatchNorm2d,Linear,AvgPool2d,Conv2d,AvgPool2d,AvgPool2d","[64, 1244]",expected 4D input (got 2D input)
fuzz_pt_34c6eb0f,Timeout,3359.88,1865,1,ReLU,"[16, 2, 256, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_426228b4,Crash,15.56,3666,3,"MaxPool2d,Conv2d,Conv2d","[16, 24, 256, 256]","Given groups=1, weight of size [34, 22, 3, 3], expected input[16, 24, 128, 128] to have 22 channels, but got 24 channels instead"
fuzz_pt_eb01bd1e,Crash,1.0,2607,4,"Flatten,BatchNorm2d,Flatten,AvgPool2d","[64, 986]",expected 4D input (got 2D input)
fuzz_pt_a48b86fc,Crash,1.0,1430,2,"BatchNorm2d,BatchNorm2d","[16, 28, 16, 32]",running_mean should contain 28 elements not 42
fuzz_pt_53b38866,Timeout,2775.21,1766,1,ReLU,"[1, 2137]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_d7b4e9a7,Crash,1.0,3252,2,"Conv2d,ReLU","[64, 12, 16, 16]","Given groups=1, weight of size [50, 48, 3, 3], expected input[64, 12, 16, 16] to have 48 channels, but got 12 channels instead"
fuzz_pt_431c6a95,Crash,1.0,1749,2,"Conv2d,Flatten","[256, 2177]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 2177]"
fuzz_pt_2f6816fe,Crash,1.0,1110,1,Conv2d,"[64, 1063]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1063]"
fuzz_pt_b97f359b,Crash,109.89,3207,4,"MaxPool2d,Flatten,AvgPool2d,Flatten","[128, 43, 256, 128]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_1b00516c,Crash,1.0,2165,2,"AvgPool2d,Linear","[1, 2352]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_2e143f45,Timeout,3514.47,1741,1,MaxPool2d,"[16, 38, 256, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_36dc9d9d,Success,1.0,3341,3,"ReLU,ReLU,MaxPool2d","[16, 8, 16, 32]",None
fuzz_pt_4d1ccaa0,Success,1328.67,3862,4,"MaxPool2d,ReLU,ReLU,AvgPool2d","[1, 14, 16, 1024]",None
fuzz_pt_5985d35a,Crash,1.51,3367,5,"Linear,BatchNorm2d,BatchNorm2d,BatchNorm2d,Linear","[1, 2883]",mat1 and mat2 shapes cannot be multiplied (1x2883 and 892x726)
fuzz_pt_6ebbec26,Success,1817.23,2431,2,"Flatten,ReLU","[16, 288]",None
fuzz_pt_7688cabd,Crash,1.0,2934,5,"MaxPool2d,MaxPool2d,Flatten,AvgPool2d,Flatten","[1, 39, 128, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_aa5eea4d,Crash,1.0,969,1,BatchNorm2d,"[4, 29, 32, 32]",running_mean should contain 29 elements not 52
fuzz_pt_5f3f6e94,Crash,1.0,1308,2,"AvgPool2d,AvgPool2d","[16, 869]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_98f98b19,Success,2.0,1648,1,MaxPool2d,"[1, 16, 1024, 128]",None
fuzz_pt_76d0aced,Crash,1.0,4855,5,"Conv2d,Conv2d,ReLU,AvgPool2d,Conv2d","[4, 35, 16, 256]","Given groups=1, weight of size [41, 31, 3, 3], expected input[4, 35, 16, 256] to have 31 channels, but got 35 channels instead"
fuzz_pt_7652ab59,Crash,1.0,2740,1,Conv2d,"[16, 48, 16, 16]","Given groups=1, weight of size [23, 18, 3, 3], expected input[16, 48, 16, 16] to have 18 channels, but got 48 channels instead"
fuzz_pt_f087c900,Crash,1.0,2511,4,"BatchNorm2d,AvgPool2d,MaxPool2d,MaxPool2d","[4, 38, 16, 128]",running_mean should contain 38 elements not 31
fuzz_pt_2e02dbd1,Crash,1.0,4575,4,"MaxPool2d,Conv2d,Conv2d,Linear","[4, 15, 64, 128]","Given groups=1, weight of size [24, 19, 1, 1], expected input[4, 15, 21, 42] to have 19 channels, but got 15 channels instead"
fuzz_pt_d80239e2,Success,5.94,3011,3,"ReLU,AvgPool2d,ReLU","[16, 56, 1024, 16]",None
fuzz_pt_65e3c68a,Crash,1.0,3293,5,"ReLU,MaxPool2d,ReLU,BatchNorm2d,BatchNorm2d","[1, 4023]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_09cf30a2,Crash,1.01,2930,3,"AvgPool2d,Linear,AvgPool2d","[64, 43, 128, 16]",mat1 and mat2 shapes cannot be multiplied (176128x8 and 499x274)
fuzz_pt_bd5f641e,Crash,1.57,5362,5,"AvgPool2d,AvgPool2d,Linear,ReLU,BatchNorm2d","[64, 6, 32, 64]",mat1 and mat2 shapes cannot be multiplied (1920x10 and 135x429)
fuzz_pt_a5647915,Crash,1.0,2868,6,"BatchNorm2d,MaxPool2d,AvgPool2d,BatchNorm2d,Flatten,AvgPool2d","[128, 60, 128, 64]",running_mean should contain 60 elements not 4
fuzz_pt_9195f3c3,Crash,1.0,5748,5,"Linear,Conv2d,BatchNorm2d,AvgPool2d,BatchNorm2d","[64, 19, 64, 1024]",mat1 and mat2 shapes cannot be multiplied (77824x1024 and 731x447)
fuzz_pt_e074b3a1,Crash,8.21,3402,5,"MaxPool2d,ReLU,AvgPool2d,MaxPool2d,BatchNorm2d","[64, 6, 128, 256]",running_mean should contain 6 elements not 12
fuzz_pt_bc1b19b0,Crash,1.0,4117,6,"AvgPool2d,ReLU,ReLU,AvgPool2d,Linear,AvgPool2d","[256, 3978]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_1546b47b,Crash,2.77,5287,6,"AvgPool2d,ReLU,ReLU,MaxPool2d,Linear,Flatten","[64, 30, 128, 32]",mat1 and mat2 shapes cannot be multiplied (40320x5 and 275x949)
fuzz_pt_dbbe85f6,Crash,1.0,4549,4,"BatchNorm2d,MaxPool2d,Conv2d,Flatten","[16, 1, 32, 16]",running_mean should contain 1 elements not 13
fuzz_pt_17d8b6a1,Crash,1.0,2944,5,"BatchNorm2d,AvgPool2d,BatchNorm2d,MaxPool2d,ReLU","[16, 19, 256, 256]",running_mean should contain 19 elements not 3
fuzz_pt_4c695a09,Crash,1.0,2570,3,"MaxPool2d,AvgPool2d,Linear","[64, 3, 32, 64]",mat1 and mat2 shapes cannot be multiplied (576x7 and 674x330)
fuzz_pt_fa8ae0f0,Crash,1.0,3769,4,"Linear,AvgPool2d,Linear,Conv2d","[128, 41, 256, 256]",mat1 and mat2 shapes cannot be multiplied (1343488x256 and 761x665)
fuzz_pt_ed5f3f31,Crash,10.17,3020,2,"ReLU,Conv2d","[16, 48, 64, 1024]","Given groups=1, weight of size [31, 27, 1, 1], expected input[16, 48, 64, 1024] to have 27 channels, but got 48 channels instead"
fuzz_pt_b433e73c,Crash,1.0,4218,6,"Conv2d,Flatten,Conv2d,Flatten,ReLU,AvgPool2d","[256, 2433]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 2433]"
fuzz_pt_4624a037,Crash,1.0,4590,4,"Conv2d,AvgPool2d,Conv2d,Flatten","[128, 14, 32, 32]","Given groups=1, weight of size [25, 41, 1, 1], expected input[128, 14, 32, 32] to have 41 channels, but got 14 channels instead"
fuzz_pt_c9466ed2,Crash,2.52,2776,5,"AvgPool2d,ReLU,AvgPool2d,BatchNorm2d,Conv2d","[16, 24, 1024, 16]",running_mean should contain 24 elements not 48
fuzz_pt_32497687,Crash,1.0,4935,6,"Linear,MaxPool2d,Flatten,Conv2d,ReLU,ReLU","[128, 33, 32, 256]",mat1 and mat2 shapes cannot be multiplied (135168x256 and 267x974)
fuzz_pt_cb52f77e,Crash,1.0,2838,3,"Linear,ReLU,MaxPool2d","[16, 16, 64, 32]",mat1 and mat2 shapes cannot be multiplied (16384x32 and 892x183)
fuzz_pt_11e124e1,Timeout,3388.09,1656,1,AvgPool2d,"[16, 41, 32, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_c0127e31,Crash,1.0,728,1,AvgPool2d,"[64, 3175]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_3c5f3e65,Crash,1.0,3352,6,"Flatten,Flatten,Conv2d,Conv2d,Flatten,AvgPool2d","[128, 19, 16, 16]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [128, 4864]"
fuzz_pt_e47b1453,Crash,1.0,4983,5,"AvgPool2d,Linear,Linear,MaxPool2d,Linear","[4, 48, 256, 16]",mat1 and mat2 shapes cannot be multiplied (24576x8 and 178x135)
fuzz_pt_1c207e1f,Crash,2.52,1401,2,"MaxPool2d,BatchNorm2d","[16, 64, 16, 128]",running_mean should contain 64 elements not 57
fuzz_pt_34432bc3,Success,548.13,3040,2,"Flatten,ReLU","[16, 2812]",None
fuzz_pt_339a938d,Success,1079.95,1270,1,Flatten,"[64, 59, 128, 1024]",None
